image_name,confidence_value,IoU_value
IMG_20180811_083633.jpg,0.524074,0.8776338987636703
IMG_20180810_093055.jpg,0.7731245,0.8761344079554341
IMG_20180810_093055.jpg,0.40560365,0.0
IMG_20180811_083513.jpg,0.66293514,0.0
IMG_20180811_083513.jpg,0.64411664,0.791336026364645
IMG_20180811_083513.jpg,0.6234621,0.6166209654433531
IMG_20180811_083513.jpg,0.3483007,0.0
IMG_20180811_083505.jpg,0.6483072,0.6647866609481728
IMG_20180811_083505.jpg,0.27231923,0.8737909690996762
IMG_20180811_083542.jpg,0.52094007,0.44584934807084997
IMG_20180811_083542.jpg,0.31438765,0.36042405289464746
IMG_20180811_083552.jpg,0.7441309,0.6582502233201246
IMG_20180811_083436.jpg,0.30179203,0.0
IMG_20180811_083436.jpg,0.29556453,0.6702085469122486
IMG_20180810_092925.jpg,0.80089206,0.8954086772950101
IMG_20180810_092204.jpg,0.7303411,0.8194955313739318
IMG_20180810_092223.jpg,0.7519685,0.8460894196877018
IMG_20180810_092850.jpg,0.53952616,0.851340912726891
IMG_20180810_092143.jpg,0.25013834,0.23806131451639462
IMG_20180810_092900.jpg,0.7943872,0.8191480401117662
IMG_20180810_092729.jpg,0.85741466,0.7670416694724488
IMG_20180810_092254.jpg,0.83046687,0.9085079606720958
IMG_20180810_092254.jpg,0.27997085,0.0
IMG_20180810_092208.jpg,0.7067373,0.825013976589194
IMG_20180810_092208.jpg,0.2820971,0.0
IMG_20180810_092842.jpg,0.5673631,0.7871256636429356
IMG_20180810_092842.jpg,0.50639504,0.36309180981399697
IMG_20180811_083643.jpg,0.49887162,0.43853919311865686
IMG_20180811_084022.jpg,0.7506325,0.8703999013069734
IMG_20180811_084022.jpg,0.6043752,0.0
IMG_20180811_083951.jpg,0.75852513,0.8978278070006206
IMG_20180811_083951.jpg,0.6907976,0.9083628071623686
IMG_20180811_084250.jpg,0.800097,0.8917241606567138
IMG_20180811_084419.jpg,0.8845249,0.9125091704579485
IMG_20180811_084419.jpg,0.5679765,0.0
IMG_20180811_084419.jpg,0.5104952,0.0
IMG_20180811_084419.jpg,0.46989265,0.025295845308211336
IMG_20180811_083742.jpg,0.78549564,0.6886638324996489
IMG_20180811_083742.jpg,0.73682773,0.6702685456385165
IMG_20180811_083925.jpg,0.8021406,0.8564199943184337
IMG_20180811_084218.jpg,0.61179537,0.0
IMG_20180811_084218.jpg,0.45994875,0.8063964916542271
IMG_20180811_084218.jpg,0.33204257,0.0
IMG_20180811_084200.jpg,0.7055057,0.7881695277323917
IMG_20180811_084200.jpg,0.6044503,0.0
IMG_20180811_084135.jpg,0.8367521,0.886633181303682
IMG_20180811_084135.jpg,0.8102079,0.7506137247131642
IMG_20180811_084135.jpg,0.6392026,0.0004312785365020942
IMG_20180811_084135.jpg,0.5596989,0.0
IMG_20180811_084135.jpg,0.5364641,0.0
IMG_20180811_084135.jpg,0.40462646,0.0
IMG_20180811_084135.jpg,0.31465942,0.0
IMG_20180811_084135.jpg,0.30831963,0.0
IMG_20180811_084135.jpg,0.28939298,0.0
IMG_20180811_084101.jpg,0.7868764,0.8364310517377955
IMG_20180811_084101.jpg,0.4178838,0.0
IMG_20180811_084101.jpg,0.26660812,0.0
IMG_20180811_084321.jpg,0.6427879,0.6256903462531318
IMG_20180811_084321.jpg,0.56595963,0.4161535690698204
IMG_20180811_083703.jpg,0.737573,0.8989736334775736
IMG_20180811_083703.jpg,0.41740248,0.38849734553045706
IMG_20180811_083937.jpg,0.76801896,0.9212593480851545
IMG_20180811_084006.jpg,0.67788184,0.792863135279818
IMG_20180811_084006.jpg,0.6252368,0.8990918050812499
IMG_20180811_084006.jpg,0.46564966,0.0
IMG_20180811_083942.jpg,0.72492754,0.9501207379301689
IMG_20180811_083942.jpg,0.34309608,0.0
IMG_20180811_083849.jpg,0.7391098,0.8260589620089073
IMG_20180811_083849.jpg,0.7233125,0.9242730385494977
IMG_20180811_083849.jpg,0.7163316,0.8584501767580258
IMG_20180811_083929.jpg,0.7538149,0.759405640060854
IMG_20180811_083816.jpg,0.8117328,0.8954506499171624
IMG_20180811_083816.jpg,0.74883026,0.8807602398654388
IMG_20180811_083816.jpg,0.40744835,0.7172623515301187
IMG_20180811_083816.jpg,0.3093877,0.0
IMG_20180811_083933.jpg,0.7256543,0.8098954860877406
IMG_20180811_083933.jpg,0.6554791,0.8631816289274744
